order_id,cust_id,cust_name,restaurant_name,veg_food_item,non_veg_food_item,food_quantity,transaction_mode,transaction_id,email_id,contact_number,address_type,state,postal_code,address
1,386,Marcus Bisterfeld,Deepanshu da Dhaba,Bhel,,1,COD,594742130,mbisterfeld0@1688.com,941-405-7253,8546 Killdeer Point,Florida,32819,8546 Killdeer Point Florida 32819
2,97,Tammara Gaynor,Central Tiffin Room,cheese burger,,5,COD,068143697,tgaynor1@geocities.com,414-821-1196,03444 Hintze Parkway,Wisconsin,53225,03444 Hintze Parkway Wisconsin 53225
3,694,Sibbie Grieve,rt’s kitchen,Paneer makhni,chicken biryani,5,COD,612021332,sgrieve2@goo.ne.jp,760-325-5793,943 Mendota Circle,California,92030,943 Mendota Circle California 92030
4,178,Maxine Martelet,AR North Indian Food Corner,uttapam,shrimp,5,COD,907242394,mmartelet3@mac.com,212-231-1549,00 Mendota Crossing,New York,11431,00 Mendota Crossing New York 11431
5,824,Shaylah Juares,rt’s kitchen,Nan,smoked fish,4,COD,590613964,sjuares4@opensource.org,706-342-8241,7339 Spaight Park,Georgia,30905,7339 Spaight Park Georgia 30905
6,410,Merissa Scraney,Rasika,Pulao,egg biryani,1,COD,412025676,mscraney5@hud.gov,213-633-7812,4 Dennis Crossing,California,90055,4 Dennis Crossing California 90055
7,917,Corry Elgee,Blind chemistry,Veg burger,oysters,5,COD,175569282,celgee6@mapy.cz,208-314-4569,44144 Meadow Vale Way,Idaho,83705,44144 Meadow Vale Way Idaho 83705
8,847,Jude Jarmaine,DP Cafe,Veg burger,Chicken 65,1,online,793454958,jjarmaine7@loc.gov,814-311-1904,8469 Green Avenue,Pennsylvania,16522,8469 Green Avenue Pennsylvania 16522
9,614,Graham Escott,Adyar Aanand Bhavan,Paratha,,2,online,428410414,gescott8@cdbaby.com,205-820-6467,2 Coolidge Point,Alabama,35236,2 Coolidge Point Alabama 35236
10,919,Berni Fydo,Vidyarthi Bhavan,veg kolhapuri,fish fillet,2,online,451114472,bfydo9@printfriendly.com,415-136-2704,3908 Cordelia Junction,California,94616,3908 Cordelia Junction California 94616
11,414,Werner Scones,Anshuman Foods,sabudana khichadi,chicken leg piece,4,COD,977960901,wsconesa@redcross.org,512-985-4737,284 Mandrake Hill,Texas,78759,284 Mandrake Hill Texas 78759
12,305,Layla Puttock,Central Tiffin Room,Veg biryani,Curried Parmesan Fish Fingers,3,online,494868197,lputtockb@prweb.com,509-237-8408,63471 Blackbird Park,Washington,99260,63471 Blackbird Park Washington 99260
13,162,Yance Jordan,Blind chemistry,Nan,Pina Colada Pork Ribs,4,COD,081779493,yjordanc@skype.com,605-926-1750,54690 Mesta Place,South Dakota,57105,54690 Mesta Place South Dakota 57105
14,806,Ricky Bruniges,The Black Pearl,Pulao,,2,online,614602822,rbrunigesd@walmart.com,318-832-1961,6 Loeprich Park,Louisiana,71130,6 Loeprich Park Louisiana 71130
15,575,Gerik Camplen,AR North Indian Food Corner,Paratha,Keema Samosa with Yoghurt Dip,5,online,469615689,gcamplene@nih.gov,864-254-7654,5 Hazelcrest Court,South Carolina,29610,5 Hazelcrest Court South Carolina 29610
16,214,Penelope McAnellye,Anshuman Foods,panipuri,fish steak,4,COD,456779182,pmcanellyef@hatena.ne.jp,915-203-0112,9 Summer Ridge Court,Texas,79968,9 Summer Ridge Court Texas 79968
17,109,Ad Lamlin,Rasika,Veg burger,,2,COD,308427900,alamling@spiegel.de,763-168-2580,33 Hayes Park,Minnesota,55590,33 Hayes Park Minnesota 55590
